Identifiant station;Nom station;Station en fonctionnement;Capacité de la station;Nombre bornettes libres;Nombre total vélos disponibles;Vélos mécaniques disponibles;Vélos électriques disponibles;Borne de paiement disponible;Retour vélib possible;Actualisation de la donnée;Coordonnées géographiques;Nom communes équipées;Code INSEE communes équipées;station_opening_hours
40001;;OUI;;22;6;5;1;OUI;OUI;2026-09-26T01:58:19+02:00;;;;
9020;;OUI;;17;4;1;3;OUI;OUI;2026-09-26T01:58:47+02:00;;;;
32017;;OUI;;17;4;1;3;OUI;OUI;2026-09-26T01:58:27+02:00;;;;
11104;;OUI;;17;3;0;3;OUI;OUI;2026-09-26T01:57:19+02:00;;;;
8026;;OUI;;10;2;2;0;OUI;OUI;2026-09-26T01:59:34+02:00;;;;
6003;;OUI;;20;1;0;1;OUI;OUI;2026-09-26T01:51:53+02:00;;;;
6108;;OUI;;14;3;3;0;OUI;OUI;2026-09-26T01:57:08+02:00;;;;
42016;;OUI;;21;6;0;6;OUI;OUI;2026-09-26T01:58:11+02:00;;;;
25006;;OUI;;16;5;0;5;OUI;OUI;2026-09-26T01:59:30+02:00;;;;
7003;;OUI;;56;4;3;1;OUI;OUI;2026-09-26T01:54:14+02:00;;;;
15047;;OUI;;35;17;14;3;OUI;OUI;2026-09-26T01:58:53+02:00;;;;
12109;;OUI;;1;29;23;6;OUI;OUI;2026-09-26T01:58:08+02:00;;;;
15202;;OUI;;29;1;1;0;OUI;OUI;2026-09-26T01:55:41+02:00;;;;
13007;;OUI;;35;12;11;1;OUI;OUI;2026-09-26T01:59:04+02:00;;;;
5016;;OUI;;16;1;0;1;OUI;OUI;2026-09-26T01:57:04+02:00;;;;
2022;;OUI;;34;0;0;0;OUI;OUI;2026-09-26T01:59:04+02:00;;;;
19033;;OUI;;33;7;3;4;OUI;OUI;2026-09-26T01:53:24+02:00;;;;
21326;;OUI;;16;4;1;3;OUI;OUI;2026-09-26T01:59:12+02:00;;;;
15068;;OUI;;12;4;4;0;OUI;OUI;2026-09-26T01:56:07+02:00;;;;
22207;;OUI;;6;16;14;2;OUI;OUI;2026-09-26T01:58:00+02:00;;;;
92002;;OUI;;16;4;1;3;OUI;OUI;2026-09-26T01:59:35+02:00;;;;
17025;;OUI;;35;0;0;0;NON;NON;2026-09-26T01:57:55+02:00;;;;
31028;;OUI;;17;11;6;5;OUI;OUI;2026-09-26T01:59:19+02:00;;;;
17048;;OUI;;22;8;3;5;OUI;OUI;2026-09-26T01:58:40+02:00;;;;
16118;;OUI;;5;21;19;2;OUI;OUI;2026-09-26T01:52:02+02:00;;;;
9008;;OUI;;8;7;5;2;OUI;OUI;2026-09-26T01:54:07+02:00;;;;
9002;;OUI;;11;3;1;2;OUI;OUI;2026-09-26T01:53:34+02:00;;;;
17032;;OUI;;18;2;1;1;OUI;OUI;2026-09-26T01:58:15+02:00;;;;
